month,share_opps,share_bookmarks,share_sold,share_contracts_signed
2020-01-01,2.663679808841099,0.532258064516129,0.24551971326164876,0.3924731182795699
2020-02-01,1.7581187010078387,0.3661814109742441,0.1942889137737962,0.3493840985442329
2020-03-01,1.2922705314009661,0.2714975845410628,0.08260869565217391,0.22560386473429953
2020-04-01,1.1806367771280053,0.2696556205328135,0.0714749837556855,0.1793372319688109
2020-05-01,1.486564996368918,0.25925925925925924,0.11474219317356572,0.2018881626724764
2020-06-01,2.1478260869565218,0.3947826086956522,0.14869565217391303,0.2617391304347826
2020-07-01,2.799645390070922,0.4769503546099291,0.25177304964539005,0.375886524822695
2020-08-01,3.084200567644276,0.5373699148533586,0.24314096499526963,0.37464522232734154
2020-09-01,2.7114261884904085,0.46872393661384487,0.23185988323603002,0.34612176814011675
2020-10-01,2.4874010079193662,0.7508999280057596,0.22318214542836573,0.30597552195824335
2020-11-01,3.6943765281173593,3.9144254278728607,0.23838630806845965,0.43704156479217604
2020-12-01,3.6722350230414746,5.858870967741935,0.23271889400921658,0.43951612903225806
2021-01-01,4.0783886771910725,7.151878062057703,0.326619488296135,0.5585193249863909
2021-02-01,4.028882833787466,6.8768392370572204,0.36130790190735695,0.5831062670299727
2021-03-01,4.253298153034301,7.854881266490765,0.3646437994722955,0.6158311345646438
2021-04-01,4.21482683982684,7.79004329004329,0.3046536796536797,0.5676406926406926
2021-05-01,4.428005937654627,8.974764967837704,0.33399307273626916,0.6086095992083127
2021-06-01,3.665073848827107,7.1624674196350995,0.3049522154648132,0.5430060816681147
2021-07-01,3.960896309314587,8.66871704745167,0.3510544815465729,0.6045694200351494
2021-08-01,3.5327809798270895,8.819524495677234,0.3090778097982709,0.5147694524495677
2021-09-01,3.2744610281923716,7.111111111111111,0.3023770038695412,0.49640685461580986
2021-10-01,3.787899388171312,9.125084976206661,0.33650577838205303,0.5345569907092681
2021-11-01,3.753932119205298,10.046978476821192,0.3443708609271523,0.5612582781456954
2021-12-01,3.762551440329218,10.681481481481482,0.2823045267489712,0.4588477366255144
2022-01-01,4.923417721518987,14.648523206751054,0.3628691983122363,0.5122362869198313
2022-02-01,4.547719793135872,12.769158439116126,0.3511988716502116,0.5094029149036201
2022-03-01,3.8547169811320754,10.69077568134172,0.29161425576519917,0.46373165618448636
2022-04-01,3.2742537313432836,9.711380597014925,0.26436567164179103,0.4408582089552239
2022-05-01,2.84289931124959,9.154640865857658,0.267136766152837,0.44096425057395866
2022-06-01,2.805166846071044,8.677840996463171,0.2584960787328925,0.4353375365216054
2022-07-01,2.8523412812410225,7.974288997414536,0.264722780810112,0.4336397586900316
2022-08-01,3.1997103548153514,7.342360608254888,0.30745836350470673,0.499637943519189
2022-09-01,3.397937812147575,8.379732560012888,0.33719993555662964,0.5590462381182536
2022-10-01,4.125667920047497,12.26024144072828,0.36493172372847815,0.6265584801108253
2022-11-01,4.894772572980313,14.240778456664403,0.41412084181941616,0.7361393980538583
2022-12-01,4.8761512360639845,16.019146873485216,0.4212312166747455,0.7445467765390208
