month,share_opps,share_bookmarks
2020-01-01,2.663679808841099,0.532258064516129
2020-02-01,1.7581187010078387,0.3661814109742441
2020-03-01,1.2922705314009661,0.2714975845410628
2020-04-01,1.1806367771280053,0.2696556205328135
2020-05-01,1.486564996368918,0.25925925925925924
2020-06-01,2.1478260869565218,0.3947826086956522
2020-07-01,2.799645390070922,0.4769503546099291
2020-08-01,3.084200567644276,0.5373699148533586
2020-09-01,2.7114261884904085,0.46872393661384487
2020-10-01,2.4874010079193662,0.7508999280057596
2020-11-01,3.6943765281173593,3.9144254278728607
2020-12-01,3.6722350230414746,5.858870967741935
2021-01-01,4.0783886771910725,7.151878062057703
2021-02-01,4.028882833787466,6.8768392370572204
2021-03-01,4.253298153034301,7.854881266490765
2021-04-01,4.21482683982684,7.79004329004329
2021-05-01,4.428005937654627,8.974764967837704
2021-06-01,3.665073848827107,7.1624674196350995
2021-07-01,3.960896309314587,8.66871704745167
2021-08-01,3.5327809798270895,8.819524495677234
2021-09-01,3.2744610281923716,7.111111111111111
2021-10-01,3.787899388171312,9.125084976206661
2021-11-01,3.753932119205298,10.046978476821192
2021-12-01,3.762551440329218,10.681481481481482
2022-01-01,4.923417721518987,14.648523206751054
2022-02-01,4.547719793135872,12.769158439116126
2022-03-01,3.8547169811320754,10.69077568134172
2022-04-01,3.2742537313432836,9.711380597014925
2022-05-01,2.84289931124959,9.154640865857658
2022-06-01,2.805166846071044,8.677840996463171
2022-07-01,2.8523412812410225,7.974288997414536
2022-08-01,3.1997103548153514,7.342360608254888
2022-09-01,3.397937812147575,8.379732560012888
2022-10-01,4.125667920047497,12.26024144072828
2022-11-01,4.894772572980313,14.240778456664403
2022-12-01,4.8761512360639845,16.019146873485216
2023-01-01,6.564655172413793,21.35210129310345
2023-02-01,6.207975249226538,20.891027844620144
2023-03-01,6.149902660609993,21.295911745619726
2023-04-01,4.813190005810576,18.729227193492157
2023-05-01,3.3739302172481898,13.458854509545754
