month,share_sold
2020-01-01,0.24551971326164876
2020-02-01,0.1942889137737962
2020-03-01,0.08260869565217391
2020-04-01,0.0714749837556855
2020-05-01,0.11474219317356572
2020-06-01,0.14869565217391303
2020-07-01,0.25177304964539005
2020-08-01,0.24314096499526963
2020-09-01,0.23185988323603002
2020-10-01,0.22318214542836573
2020-11-01,0.23838630806845965
2020-12-01,0.23271889400921658
2021-01-01,0.326619488296135
2021-02-01,0.36130790190735695
2021-03-01,0.3646437994722955
2021-04-01,0.3046536796536797
2021-05-01,0.33399307273626916
2021-06-01,0.3049522154648132
2021-07-01,0.3510544815465729
2021-08-01,0.3090778097982709
2021-09-01,0.3023770038695412
2021-10-01,0.33650577838205303
2021-11-01,0.3443708609271523
2021-12-01,0.2823045267489712
2022-01-01,0.3628691983122363
2022-02-01,0.3511988716502116
2022-03-01,0.29161425576519917
2022-04-01,0.26436567164179103
2022-05-01,0.267136766152837
2022-06-01,0.2584960787328925
2022-07-01,0.264722780810112
2022-08-01,0.30745836350470673
2022-09-01,0.33719993555662964
2022-10-01,0.36493172372847815
2022-11-01,0.41412084181941616
2022-12-01,0.4212312166747455
2023-01-01,0.5853987068965517
2023-02-01,0.5582674458576831
2023-03-01,0.45489941596365996
2023-04-01,0.3916327716443928
2023-05-01,0.3271889400921659
